run_folder,dataset,learning_rate,batch_size,num_epochs,model_name,sampled_num,dropout,num_hidden_layers,num_self_att_layers,ff_hidden_size,num_neighbors,fold_idx,Experiment_Number,Description
../,MR_WORD2VEC,0.0001,2,50,MR_WORD2VEC_experiment32,512,0.9,2,1,1024,4,1,32,Readme config with higher dropout and 200 epochs
../,MR_WORD2VEC,0.0001,10,100,MR_WORD2VEC_experiment33,512,0.5,2,1,1024,4,1,33,Experiment 4 with double epoch batch size 10
../,MR_WORD2VEC,0.0001,12,100,MR_WORD2VEC_experiment34,512,0.5,2,1,1024,4,1,34,Experiment 4 with double epoch batch size 12
../,MR_WORD2VEC,0.0001,14,100,MR_WORD2VEC_experiment35,512,0.5,2,1,1024,4,1,35,Experiment 4 with double epoch batch size 14
../,MR_WORD2VEC,0.0001,16,100,MR_WORD2VEC_experiment36,512,0.5,2,1,1024,4,1,36,Experiment 4 with double epoch batch size 16
../,MR_WORD2VEC,0.0001,8,100,MR_WORD2VEC_experiment37,512,0.5,2,1,1024,4,1,37,Experiment 27 with higher dropout and 200 epochs
../,MR_WORD2VEC_COMPLETE,0.0001,2,50,MR_WORD2VEC_COMPLETE_experiment32,512,0.9,2,1,1024,4,1,32,Readme config with higher dropout and 200 epochs
../,MR_WORD2VEC_COMPLETE,0.0001,10,100,MR_WORD2VEC_COMPLETE_experiment33,512,0.5,2,1,1024,4,1,33,Experiment 4 with double epoch batch size 10
../,MR_WORD2VEC_COMPLETE,0.0001,12,100,MR_WORD2VEC_COMPLETE_experiment34,512,0.5,2,1,1024,4,1,34,Experiment 4 with double epoch batch size 12
../,MR_WORD2VEC_COMPLETE,0.0001,14,100,MR_WORD2VEC_COMPLETE_experiment35,512,0.5,2,1,1024,4,1,35,Experiment 4 with double epoch batch size 14
../,MR_WORD2VEC_COMPLETE,0.0001,16,100,MR_WORD2VEC_COMPLETE_experiment36,512,0.5,2,1,1024,4,1,36,Experiment 4 with double epoch batch size 16
../,MR_WORD2VEC_COMPLETE,0.0001,8,100,MR_WORD2VEC_COMPLETE_experiment37,512,0.5,2,1,1024,4,1,37,Experiment 27 with higher dropout and 200 epochs
